UniqueID,Course,Title,Edition,Year,Author,ISBN,Alternate ISBNs,MMS ID,Call number,Barcode,Current Status,New/Returning/Past Semester,UMCP copy?,Notes,Comment,Branch Location
TopTextFall24.101,BMGT 380,"Business Law: Ethical, Global, and E-commerce Environment; 15th ed.",15th,,"Mallor, Barnes, Bowers, & Langvardt",9781285904733,,990063476620108238,BMGT380/Business Law,31430058256555,On Shelf,,N,,,CPMCK
TopTextFall24.102,BMGT 380,"Business Law: Ethical, Global, and E-commerce Environment",16th,2016,"Mallor, Barnes, Langvardt, Prenkert, McCrory",9780077733711,,990063476620108238,BMGT380/Business Law 16th,31430058253065,On Shelf,,N,,,CPMCK
TopTextFall24.103,BMGT 380,"Business Law: Ethical, Global, and E-commerce Environment",17th,2018,"Langvardt, Barnes, Prenkert, McCrory, & Perry",9781259917110,,990063476620108238,BMGT380/Business Law 17th,"31430058255904, 31430058256001",On Shelf,,N,,,CPMCK
TopTextFall24.104,BMGT 403,Systems Analysis and Design,7th,2019,"Dennis, Wixom, & Roth",9781119496489,9781118897843,990063476620108238,BMGT403/Systems Analysis & Design,31430058259054,On Shelf,,N,,,CPMCK
TopTextFall24.105,BMGT 411,Ethical Obligations and Decision Making in Accounting: Texts and Cases,4th,2017,Mintz & Morris,9781259543470,,990063476620108238,BMGT411/Ethical Obligations,31430058256084,On Shelf,,N,,,CPMCK
TopTextFall24.106,BMGT 422,Auditing: a Risk-Based Approach to Conducting a Quality Audit,10th,2016,"Johnstone, Rittenberg, & Gramling",9781305080577,,990063476620108238,BMGT422/Auditing,31430058253248,On Shelf,,N,,,CPMCK
TopTextFall24.107,BMGT 431,"Data Mining for Business Analytics: Concepts, Techniques, and Applications with XLMiner",3rd,2016,"Galit Shmueli, Peter C. Bruce, Nitin R. Patel",9781118729274,,990063476620108238,BMGT431/Data MiningEXLMiner,31430060958966,On Shelf,,N,,,CPMCK
TopTextFall24.108,BMGT 443,Valuation: Measuring & Managing the Value of Companies,6th,2015,"Koller, Goedhart, & Wessels",9781118873700,,990063476620108238,BMGT443/Valuation,31430058253933,On Shelf,,N,,,CPMCK
TopTextFall24.109,BMGT 445,"Banking and Financial Institutions (from Saunders & Cornett, BMGT445/BUFN772)",,2018,Elinda Kiss,9781307316438,,990063476620108238,BMGT445/Banking & Financial Institutions,31430058256209,On Shelf,,N,,,CPMCK
TopTextFall24.110,BMGT 446,International Financial Management,7th,2015,Eun & Resnick,9780077861605,,990063476620108238,BMGT446/Intl Financial Mgmt,31430051074930,On Shelf,,N,,,CPMCK
TopTextFall24.111,BMGT 446,Multinational Financial Management,11th,2020,Shapiro & Hanouna,9781119559849,,990063476620108238,BMGT446/Multinational Financial Management,31430058259062,On Shelf,,N,,,CPMCK
TopTextFall24.112,BMGT 451,"Consumer Behavior: Buying, Having, and Being",12th,2017,Michael R. Solomon,9780134129938,,990063476620108238,BMGT451/Consumer Behavior,31430058256092,On Shelf,,N,,,CPMCK
TopTextFall24.113,BMGT 451,Consumer Behavior: Building Marketing Strategy,14th,2020,"Mothersbaugh, Hawkins, & Kleiser",9781260100044,,990063476620108238,BMGT451/Consumer Behavior (2),31430058260086,On shelf,,N,,,CPMCK
